route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
14,LAB,926D0V22,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V23,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V24,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V25,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V26,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V27,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V28,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V29,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V30,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V31,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V32,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V33,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V34,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V35,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V36,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V37,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V38,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V39,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V40,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V41,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V42,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V43,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V44,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V45,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V46,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V47,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V48,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V49,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V50,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V51,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V52,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V53,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V54,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V55,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V56,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V57,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V58,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V59,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V60,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V61,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V62,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V63,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V64,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V65,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V66,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V67,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V68,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V69,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V70,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V71,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V72,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V73,Pinedo,0,9260,SHP_926_I
14,LAB,980D0V0,,0,9800,SHP_980_V
14,LAB,980D0V1,,0,9800,SHP_980_V
14,LAB,980D0V2,,0,9800,SHP_980_V
14,LAB,980D0V3,,0,9800,SHP_980_V
14,LAB,980D0V4,,0,9800,SHP_980_V
14,LAB,980D0V5,,0,9800,SHP_980_V
14,LAB,980D0V6,,0,9800,SHP_980_V
14,LAB,980D0V7,,0,9800,SHP_980_V
14,LAB,980D0V8,,0,9800,SHP_980_V
14,LAB,980D0V9,,0,9800,SHP_980_V
14,LAB,980D0V10,,0,9800,SHP_980_V
14,LAB,980D0V11,,0,9800,SHP_980_V
14,LAB,980D0V12,,0,9800,SHP_980_V
14,LAB,980D0V13,,0,9800,SHP_980_V
14,LAB,980D0V14,,0,9800,SHP_980_V
14,LAB,980D0V15,,0,9800,SHP_980_V
14,LAB,980D0V16,,0,9800,SHP_980_V
14,LAB,980D0V17,,0,9800,SHP_980_V
14,LAB,980D0V18,,0,9800,SHP_980_V
14,LAB,980D0V19,,0,9800,SHP_980_V
14,LAB,980D0V20,,0,9800,SHP_980_V
14,LAB,980D0V21,,0,9800,SHP_980_V
14,LAB,980D0V22,,0,9800,SHP_980_V
14,LAB,980D0V23,,0,9800,SHP_980_V
14,LAB,980D0V24,,0,9800,SHP_980_V
14,LAB,980D0V25,,0,9800,SHP_980_V
